Año,Especie,Puerto,Desembarques
1989.0,Abadejo,Mar del Plata,14356.5
1990.0,Abadejo,Mar del Plata,21900.3
1991.0,Abadejo,Mar del Plata,9238.7
1992.0,Abadejo,Mar del Plata,15219.0
1993.0,Abadejo,Mar del Plata,14468.2
1994.0,Abadejo,Mar del Plata,11858.2
1995.0,Abadejo,Mar del Plata,12974.3
1996.0,Abadejo,Mar del Plata,11658.0
1997.0,Abadejo,Mar del Plata,10575.4
1998.0,Abadejo,Mar del Plata,9065.8
1999.0,Abadejo,Mar del Plata,11632.1
2000.0,Abadejo,Mar del Plata,8536.8
2001.0,Abadejo,Mar del Plata,11713.9
2002.0,Abadejo,Mar del Plata,9685.2
2003.0,Abadejo,Mar del Plata,7364.9
2004.0,Abadejo,Mar del Plata,9735.3
2005.0,Abadejo,Mar del Plata,10192.5
2006.0,Abadejo,Mar del Plata,11582.9
2007.0,Abadejo,Mar del Plata,12031.7
2008.0,Abadejo,Mar del Plata,10106.3
2009.0,Abadejo,Mar del Plata,9742.3
2010.0,Abadejo,Mar del Plata,10491.6
2011.0,Abadejo,Mar del Plata,9181.5
2012.0,Abadejo,Mar del Plata,6366.1
2013.0,Abadejo,Mar del Plata,5645.688000000002
2014.0,Abadejo,Mar del Plata,4826.0
2015.0,Abadejo,Mar del Plata,4372.375999999999
2016.0,Abadejo,Mar del Plata,2688.1769999999997
2017.0,Abadejo,Mar del Plata,2458.33
2018.0,Abadejo,Mar del Plata,3089.9
2019.0,Abadejo,Mar del Plata,1730.3179999999995
2020.0,Abadejo,Mar del Plata,2523.7309999999984
1999.0,Almeja,Mar del Plata,0.0
2001.0,Almeja,Mar del Plata,0.0
2008.0,Almeja,Mar del Plata,0.0
2009.0,Almeja,Mar del Plata,0.5
2010.0,Almeja,Mar del Plata,0.3
2011.0,Almeja,Mar del Plata,0.0
2019.0,Almeja,Mar del Plata,0.0
2020.0,Almeja,Mar del Plata,0.0
1989.0,Anchoa de banco,Mar del Plata,383.4
1990.0,Anchoa de banco,Mar del Plata,260.2
1991.0,Anchoa de banco,Mar del Plata,534.8
1992.0,Anchoa de banco,Mar del Plata,1087.2
1993.0,Anchoa de banco,Mar del Plata,257.1
1994.0,Anchoa de banco,Mar del Plata,200.2
1995.0,Anchoa de banco,Mar del Plata,564.9
1996.0,Anchoa de banco,Mar del Plata,331.7
1997.0,Anchoa de banco,Mar del Plata,348.2
1998.0,Anchoa de banco,Mar del Plata,11.0
1999.0,Anchoa de banco,Mar del Plata,285.3
2000.0,Anchoa de banco,Mar del Plata,415.8
2001.0,Anchoa de banco,Mar del Plata,178.2
2002.0,Anchoa de banco,Mar del Plata,690.2
2003.0,Anchoa de banco,Mar del Plata,355.3
2004.0,Anchoa de banco,Mar del Plata,487.9
2005.0,Anchoa de banco,Mar del Plata,388.6
2006.0,Anchoa de banco,Mar del Plata,461.9
2007.0,Anchoa de banco,Mar del Plata,68.2
2008.0,Anchoa de banco,Mar del Plata,136.7
2009.0,Anchoa de banco,Mar del Plata,167.7
2010.0,Anchoa de banco,Mar del Plata,592.6
2011.0,Anchoa de banco,Mar del Plata,196.6
2012.0,Anchoa de banco,Mar del Plata,124.3
2013.0,Anchoa de banco,Mar del Plata,374.52900000000005
2014.0,Anchoa de banco,Mar del Plata,446.7
